Gene,Attractor
Dnmt3b,1
Esrrb,1
Jarid2,1
Oct4,1
Sox2,1
Tcf3,1
Fgf4,1
Klf2,1
Lefty1,1
Mycn,1
Pecam1,1
Rex1,1
bFGF,1
Dnmt3b,2
Esrrb,2
Jarid2,2
Oct4,2
Sox2,2
Tcf3,2
Fgf4,2
Klf2,2
Lefty1,2
Mycn,2
Pecam1,2
Rex1,2
iGSK3b,2
bFGF,2
Dnmt3b,3
Esrrb,3
Jarid2,3
Oct4,3
Sox2,3
Tcf3,3
Fgf4,3
Klf2,3
Lefty1,3
Mycn,3
Pecam1,3
Rex1,3
Dnmt3b,4
Esrrb,4
Jarid2,4
Oct4,4
Sox2,4
Tcf3,4
Fgf4,4
Klf2,4
Lefty1,4
Mycn,4
Pecam1,4
Rex1,4
iGSK3b,4
Fgfr2,5
Gcnf,5
Cdx2,5
Lefty1,5
Pitx2,5
Fgfr2,6
Gcnf,6
Cdx2,6
Lefty1,6
Pitx2,6
iGSK3b,6
Bmp4,7
Dnmt3b,7
EpiTFs,7
Fgfr2,7
Gata6,7
Smad6,7
Dusp6,7
Lefty1,7
Pitx2,7
Myc,7
bFGF,7
SignalFGF,7
SignalERK,7
Bmp4,8
Dnmt3b,8
EpiTFs,8
Gata6,8
Smad6,8
Lefty1,8
Pitx2,8
Myc,8
LIF,8
bFGF,8
SignalLIF,8
Bmp4,9
Dnmt3b,9
EpiTFs,9
Gata6,9
Smad6,9
Lefty1,9
Pitx2,9
Myc,9
LIF,9
SignalLIF,9
Dnmt3b,10
EpiTFs,10
Lefty1,10
Pitx2,10
bFGF,10
Dnmt3b,11
EpiTFs,11
Lefty1,11
Pitx2,11
Dnmt3b,12
EpiTFs,12
Gata6,12
Smad6,12
Lefty1,12
Pitx2,12
bFGF,12
Dnmt3b,13
EpiTFs,13
Gata6,13
Smad6,13
Lefty1,13
Pitx2,13
Fgfr2,14
Gata6,14
Gcnf,14
Smad6,14
Cdx2,14
Lefty1,14
Pitx2,14
Fgfr2,15
Gata6,15
Gcnf,15
Smad6,15
Cdx2,15
Lefty1,15
Pitx2,15
iGSK3b,15
Bmp4,16
Fgfr2,16
Gata6,16
Gcnf,16
Smad6,16
Cdx2,16
Dusp6,16
Lefty1,16
Pitx2,16
Myc,16
iGSK3b,16
bFGF,16
SignalFGF,16
SignalERK,16
