"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000790","GO:0000790","nuclear chromatin","3/9","402/21319",0.000513705696998533,0.0123289367279648,0.00648891406734989,"Dnmt3b/Pou5f1/Klf2",3
"GO:0044798","GO:0044798","nuclear transcription factor complex","2/9","204/21319",0.00313829352430907,0.0376595222917088,0.0198208012061625,"Pou5f1/Sox2",2
"GO:0035098","GO:0035098","ESC/E(Z) complex","1/9","16/21319",0.00673555650860036,0.0454479546788249,0.0239199761467499,"Jarid2",1
"GO:0032039","GO:0032039","integrator complex","1/9","18/21319",0.00757465911313748,0.0454479546788249,0.0239199761467499,"Esrrb",1
"GO:0005667","GO:0005667","transcription factor complex","2/9","423/21319",0.0128928625847546,0.061885740406822,0.03257144231938,"Pou5f1/Sox2",2
"GO:0005720","GO:0005720","nuclear heterochromatin","1/9","43/21319",0.0180104053422236,0.0674435700637032,0.0354966158230017,"Dnmt3b",1
"GO:0031519","GO:0031519","PcG protein complex","1/9","47/21319",0.0196710412685801,0.0674435700637032,0.0354966158230017,"Jarid2",1
"GO:0017053","GO:0017053","transcriptional repressor complex","1/9","83/21319",0.0345048053294282,0.0868629889481637,0.0457173626042967,"Pou5f1",1
"GO:0044291","GO:0044291","cell-cell contact zone","1/9","84/21319",0.0349139905221217,0.0868629889481637,0.0457173626042967,"Pecam1",1
"GO:0000792","GO:0000792","heterochromatin","1/9","95/21319",0.0394048645844017,0.0868629889481637,0.0457173626042967,"Dnmt3b",1
"GO:0035097","GO:0035097","histone methyltransferase complex","1/9","96/21319",0.0398122032679084,0.0868629889481637,0.0457173626042967,"Jarid2",1
"GO:0034708","GO:0034708","methyltransferase complex","1/9","120/21319",0.0495423841400492,0.0990847682800984,0.052149878042157,"Jarid2",1
"GO:0001726","GO:0001726","ruffle","1/9","147/21319",0.0603839893840902,0.111478134247551,0.0586727022355532,"Pecam1",1
"GO:0000775","GO:0000775","chromosome, centromeric region","1/9","194/21319",0.0789944321958138,0.124953688548509,0.0657650992360571,"Dnmt3b",1
"GO:0000793","GO:0000793","condensed chromosome","1/9","195/21319",0.0793868132661207,0.124953688548509,0.0657650992360571,"Esrrb",1
"GO:0044449","GO:0044449","contractile fiber part","1/9","205/21319",0.083302459032339,0.124953688548509,0.0657650992360571,"Pecam1",1
"GO:0043292","GO:0043292","contractile fiber","1/9","228/21319",0.0922523174334078,0.13023856578834,0.0685466135728107,"Pecam1",1
"GO:0098687","GO:0098687","chromosomal region","1/9","307/21319",0.12240458617948,0.163206114905973,0.0858979552136702,"Dnmt3b",1
"GO:0045121","GO:0045121","membrane raft","1/9","370/21319",0.145808494244157,0.165848740540736,0.0872888108109137,"Pecam1",1
"GO:0098857","GO:0098857","membrane microdomain","1/9","371/21319",0.146175467538911,0.165848740540736,0.0872888108109137,"Pecam1",1
"GO:0098589","GO:0098589","membrane region","1/9","383/21319",0.150568229043197,0.165848740540736,0.0872888108109137,"Pecam1",1
"GO:0031252","GO:0031252","cell leading edge","1/9","387/21319",0.152028012162341,0.165848740540736,0.0872888108109137,"Pecam1",1
"GO:0009897","GO:0009897","external side of plasma membrane","1/9","434/21319",0.169014192785349,0.176362635949929,0.092822439973647,"Pecam1",1
"GO:0005911","GO:0005911","cell-cell junction","1/9","482/21319",0.186048944795791,0.186048944795791,0.0979204972609427,"Pecam1",1
