"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051145","GO:0051145","smooth muscle cell differentiation","5/7","73/21077",9.0553097878727e-12,6.22231502280123e-09,1.31732038921516e-09,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0003151","GO:0003151","outflow tract morphogenesis","5/7","84/21077",1.85955824132746e-11,6.22231502280123e-09,1.31732038921516e-09,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0060411","GO:0060411","cardiac septum morphogenesis","5/7","86/21077",2.0974095582476e-11,6.22231502280123e-09,1.31732038921516e-09,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0003007","GO:0003007","heart morphogenesis","6/7","276/21077",3.30712939663756e-11,7.35836290751857e-09,1.55783200525822e-09,"Bmp4/Fgfr2/Gata6/Smad6/Lefty1/Pitx2",6
"GO:0003148","GO:0003148","outflow tract septum morphogenesis","4/7","29/21077",1.00835280622043e-10,1.79486799507236e-08,3.79989794344119e-09,"Bmp4/Fgfr2/Gata6/Smad6",4
"GO:0003279","GO:0003279","cardiac septum development","5/7","129/21077",1.65194533960769e-10,2.45038558708474e-08,5.18768799631187e-09,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0003206","GO:0003206","cardiac chamber morphogenesis","5/7","147/21077",3.200567183535e-10,4.06929256192307e-08,8.61506053913932e-09,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0003205","GO:0003205","cardiac chamber development","5/7","194/21077",1.29811344310974e-09,1.44415120545959e-07,3.05739876732427e-08,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0060976","GO:0060976","coronary vasculature development","4/7","79/21077",6.34260823585063e-09,6.27213481100784e-07,1.327867689143e-07,"Bmp4/Fgfr2/Gata6/Smad6",4
"GO:0003281","GO:0003281","ventricular septum development","4/7","87/21077",9.38773866882958e-09,8.35508741525832e-07,1.76884760181105e-07,"Bmp4/Fgfr2/Smad6/Pitx2",4
"GO:0009798","GO:0009798","axis specification","4/7","92/21077",1.17776530167977e-08,9.52919198631811e-07,2.01741616268591e-07,"Bmp4/Smad6/Lefty1/Pitx2",4
"GO:0003002","GO:0003002","regionalization","5/7","375/21077",3.54086191164168e-08,2.52596795232965e-06,5.34770270215266e-07,"Bmp4/Fgfr2/Smad6/Lefty1/Pitx2",5
"GO:0048565","GO:0048565","digestive tract development","4/7","122/21077",3.68961611014443e-08,2.52596795232965e-06,5.34770270215266e-07,"Bmp4/Fgfr2/Gata6/Pitx2",4
"GO:0042692","GO:0042692","muscle cell differentiation","5/7","395/21077",4.59020353452948e-08,2.9180579612366e-06,6.17779272692313e-07,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0055123","GO:0055123","digestive system development","4/7","135/21077",5.55042307559283e-08,3.29325102485174e-06,6.97211038969204e-07,"Bmp4/Fgfr2/Gata6/Pitx2",4
"GO:0003231","GO:0003231","cardiac ventricle development","4/7","148/21077",8.03740290447659e-08,4.4708053656151e-06,9.46509947303493e-07,"Bmp4/Fgfr2/Smad6/Pitx2",4
"GO:0007389","GO:0007389","pattern specification process","5/7","469/21077",1.08111867173213e-07,5.65997422259761e-06,1.19826775380836e-06,"Bmp4/Fgfr2/Smad6/Lefty1/Pitx2",5
