"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","url"
"mmu04350","mmu04350","TGF-beta signaling pathway","4/6","95/8657",2.00773887844887e-07,3.81470386905285e-06,2.95877308402991e-06,"12159/17130/13590/18741",4,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04350/12159/17130/13590/18741"")"
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","3/6","138/8657",7.65410199645231e-05,0.000727139689662969,0.000563986462896486,"12159/14183/13590",3,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04550/12159/14183/13590"")"
"mmu00270","mmu00270","Cysteine and methionine metabolism","1/6","52/8657",0.0355134102657199,0.169525742988037,0.131488110904849,"13436",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu00270/13436"")"
"mmu05217","mmu05217","Basal cell carcinoma","1/6","63/8657",0.0428895185655469,0.169525742988037,0.131488110904849,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05217/12159"")"
"mmu05230","mmu05230","Central carbon metabolism in cancer","1/6","67/8657",0.0455600571869773,0.169525742988037,0.131488110904849,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05230/14183"")"
"mmu01521","mmu01521","EGFR tyrosine kinase inhibitor resistance","1/6","79/8657",0.0535344451541171,0.169525742988037,0.131488110904849,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu01521/14183"")"
"mmu05215","mmu05215","Prostate cancer","1/6","99/8657",0.0667016908351061,0.176401100757197,0.136820798371233,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05215/14183"")"
"mmu04919","mmu04919","Thyroid hormone signaling pathway","1/6","118/8657",0.0790688287830967,0.176401100757197,0.136820798371233,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04919/12159"")"
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","1/6","144/8657",0.0957707301885975,0.176401100757197,0.136820798371233,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05418/12159"")"
"mmu05226","mmu05226","Gastric cancer","1/6","150/8657",0.0995889470553634,0.176401100757197,0.136820798371233,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05226/14183"")"
"mmu04390","mmu04390","Hippo signaling pathway","1/6","154/8657",0.102126953069956,0.176401100757197,0.136820798371233,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04390/12159"")"
"mmu04015","mmu04015","Rap1 signaling pathway","1/6","214/8657",0.139487567938332,0.203209194736069,0.15761377985069,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04015/14183"")"
"mmu04810","mmu04810","Regulation of actin cytoskeleton","1/6","216/8657",0.140710248409243,0.203209194736069,0.15761377985069,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04810/14183"")"
"mmu04014","mmu04014","Ras signaling pathway","1/6","232/8657",0.150439676705656,0.203209194736069,0.15761377985069,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04014/14183"")"
"mmu04144","mmu04144","Endocytosis","1/6","269/8657",0.172587871244077,0.203209194736069,0.15761377985069,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04144/14183"")"
"mmu04010","mmu04010","MAPK signaling pathway","1/6","294/8657",0.187278759742951,0.203209194736069,0.15761377985069,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04010/14183"")"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction","1/6","296/8657",0.188444578123538,0.203209194736069,0.15761377985069,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04060/12159"")"
"mmu05206","mmu05206","MicroRNAs in cancer","1/6","303/8657",0.192513973960486,0.203209194736069,0.15761377985069,"13436",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05206/13436"")"
"mmu04151","mmu04151","PI3K-Akt signaling pathway","1/6","355/8657",0.222214795254976,0.222214795254976,0.172354965848735,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04151/14183"")"
