"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","url"
"mmu04350","mmu04350","TGF-beta signaling pathway","4/6","95/8657",2.00773887844887e-07,6.42476441103637e-06,4.43815962604486e-06,"17130/13590/18741/17869",4,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04350/17130/13590/18741/17869"")"
"mmu05221","mmu05221","Acute myeloid leukemia","2/6","70/8657",0.000946757248945263,0.0151481159831242,0.0104641590672897,"67603/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05221/67603/17869"")"
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","2/6","138/8657",0.00362866097744641,0.0387057170927617,0.0267375019390788,"13590/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04550/13590/17869"")"
"mmu05202","mmu05202","Transcriptional misregulation in cancer","2/6","183/8657",0.00630378321739091,0.0504302657391273,0.0348366967276866,"67603/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05202/67603/17869"")"
"mmu04010","mmu04010","MAPK signaling pathway","2/6","294/8657",0.0157496537590505,0.0889780481534786,0.0614650990533898,"67603/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04010/67603/17869"")"
"mmu05206","mmu05206","MicroRNAs in cancer","2/6","303/8657",0.0166833840287772,0.0889780481534786,0.0614650990533898,"13436/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05206/13436/17869"")"
"mmu05216","mmu05216","Thyroid cancer","1/6","37/8657",0.0253787898273521,0.11235996731938,0.0776170826877298,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05216/17869"")"
"mmu05219","mmu05219","Bladder cancer","1/6","41/8657",0.0280899918298451,0.11235996731938,0.0776170826877298,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05219/17869"")"
"mmu00270","mmu00270","Cysteine and methionine metabolism","1/6","52/8657",0.0355134102657199,0.126269903167004,0.0872259199508909,"13436",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu00270/13436"")"
"mmu05213","mmu05213","Endometrial cancer","1/6","58/8657",0.0395425915132578,0.126536292842425,0.0874099391345698,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05213/17869"")"
"mmu05230","mmu05230","Central carbon metabolism in cancer","1/6","67/8657",0.0455600571869773,0.132502683210459,0.0915314587966984,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05230/17869"")"
"mmu05220","mmu05220","Chronic myeloid leukemia","1/6","76/8657",0.0515460727710697,0.132502683210459,0.0915314587966984,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05220/17869"")"
"mmu04012","mmu04012","ErbB signaling pathway","1/6","84/8657",0.0568406793936861,0.132502683210459,0.0915314587966984,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04012/17869"")"
"mmu05210","mmu05210","Colorectal cancer","1/6","88/8657",0.0594787319809352,0.132502683210459,0.0915314587966984,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05210/17869"")"
"mmu05222","mmu05222","Small cell lung cancer","1/6","92/8657",0.0621106327549025,0.132502683210459,0.0915314587966984,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05222/17869"")"
"mmu04919","mmu04919","Thyroid hormone signaling pathway","1/6","118/8657",0.0790688287830967,0.145247145483942,0.100335199182986,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04919/17869"")"
"mmu04110","mmu04110","Cell cycle","1/6","123/8657",0.0823005411036538,0.145247145483942,0.100335199182986,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04110/17869"")"
"mmu05224","mmu05224","Breast cancer","1/6","147/8657",0.0976815216439678,0.145247145483942,0.100335199182986,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05224/17869"")"
"mmu05226","mmu05226","Gastric cancer","1/6","150/8657",0.0995889470553634,0.145247145483942,0.100335199182986,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05226/17869"")"
"mmu04390","mmu04390","Hippo signaling pathway","1/6","154/8657",0.102126953069956,0.145247145483942,0.100335199182986,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04390/17869"")"
"mmu05160","mmu05160","Hepatitis C","1/6","160/8657",0.105922782332937,0.145247145483942,0.100335199182986,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05160/17869"")"
"mmu04310","mmu04310","Wnt signaling pathway","1/6","162/8657",0.107185083093168,0.145247145483942,0.100335199182986,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04310/17869"")"
"mmu05161","mmu05161","Hepatitis B","1/6","162/8657",0.107185083093168,0.145247145483942,0.100335199182986,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05161/17869"")"
"mmu04630","mmu04630","JAK-STAT signaling pathway","1/6","165/8657",0.109075749364786,0.145247145483942,0.100335199182986,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04630/17869"")"
"mmu05225","mmu05225","Hepatocellular carcinoma","1/6","172/8657",0.11347433240933,0.145247145483942,0.100335199182986,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05225/17869"")"
"mmu04218","mmu04218","Cellular senescence","1/6","185/8657",0.121595123085478,0.149655536105204,0.103380469020042,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04218/17869"")"
"mmu05205","mmu05205","Proteoglycans in cancer","1/6","205/8657",0.133967549072257,0.158776354456009,0.109681034328164,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05205/17869"")"
"mmu05167","mmu05167","Kaposi sarcoma-associated herpesvirus infection","1/6","216/8657",0.140710248409243,0.160811712467706,0.111087038217823,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05167/17869"")"
"mmu05169","mmu05169","Epstein-Barr virus infection","1/6","229/8657",0.148622435970565,0.163997170726141,0.113287519251611,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05169/17869"")"
"mmu05166","mmu05166","Human T-cell leukemia virus 1 infection","1/6","246/8657",0.158877453460253,0.169469283690937,0.117067597286502,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05166/17869"")"
