"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","8/13","436/20775",4.14516428194462e-11,2.40419528352788e-09,7.41766239926932e-10,"Esrrb/Gbx2/Nr6a1/Klf4/Sox2/Tcf3/Mycn/Myc",8
"GO:0008083","GO:0008083","growth factor activity","3/13","146/20775",9.23503910299333e-05,0.00267816133986807,0.000826292972373087,"Bmp4/Fgf4/Lefty1",3
"GO:0070888","GO:0070888","E-box binding","2/13","47/20775",0.000384582880994674,0.00509261915872903,0.00157122551176758,"Tcf3/Myc",2
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","3/13","237/20775",0.000385277554461206,0.00509261915872903,0.00157122551176758,"Jarid2/Tcf3/Myc",3
"GO:0005160","GO:0005160","transforming growth factor beta receptor binding","2/13","54/20775",0.000507844687170814,0.00509261915872903,0.00157122551176758,"Bmp4/Lefty1",2
"GO:0003707","GO:0003707","steroid hormone receptor activity","2/13","55/20775",0.000526822671592659,0.00509261915872903,0.00157122551176758,"Esrrb/Nr6a1",2
"GO:0001047","GO:0001047","core promoter binding","2/13","62/20775",0.000669201074036377,0.00554480889915855,0.00171073958776217,"Gbx2/Myc",2
"GO:0070491","GO:0070491","repressing transcription factor binding","2/13","71/20775",0.000876621548344321,0.00635550622549633,0.00196086398971756,"Tcf3/Myc",2
"GO:0000980","GO:0000980","RNA polymerase II distal enhancer sequence-specific DNA binding","2/13","94/20775",0.00152947376695407,0.00985660872037068,0.0030410589518385,"Esrrb/Tcf3",2
"GO:0001158","GO:0001158","enhancer sequence-specific DNA binding","2/13","121/20775",0.00251629336855485,0.0145945015376181,0.00450284076478235,"Esrrb/Tcf3",2
"GO:0035326","GO:0035326","enhancer binding","2/13","132/20775",0.00298507261165164,0.0152000433351073,0.0046896685425921,"Esrrb/Tcf3",2
"GO:0048018","GO:0048018","receptor ligand activity","3/13","491/20775",0.00314483655209117,0.0152000433351073,0.0046896685425921,"Bmp4/Fgf4/Lefty1",3
"GO:0001085","GO:0001085","RNA polymerase II transcription factor binding","2/13","153/20775",0.00398500044303016,0.0177792327458269,0.00548542571105366,"Gbx2/Klf4",2
"GO:0070700","GO:0070700","BMP receptor binding","1/13","11/20775",0.00686342427033471,0.0284341862628152,0.00877279793952556,"Bmp4",1
"GO:0039706","GO:0039706","co-receptor binding","1/13","12/20775",0.00748521079915787,0.0287188036549256,0.00886061092801698,"Bmp4",1
"GO:0005125","GO:0005125","cytokine activity","2/13","218/20775",0.00792242859446225,0.0287188036549256,0.00886061092801698,"Bmp4/Lefty1",2
"GO:0070696","GO:0070696","transmembrane receptor protein serine/threonine kinase binding","1/13","18/20775",0.0112083900255211,0.0382403894988367,0.0117983052900222,"Bmp4",1
"GO:0035014","GO:0035014","phosphatidylinositol 3-kinase regulator activity","1/13","20/20775",0.0124465819704763,0.0401056530159793,0.0123737949414092,"Klf4",1
"GO:0005104","GO:0005104","fibroblast growth factor receptor binding","1/13","26/20775",0.0161525756714347,0.0435018232480229,0.0134216151581922,"Fgf4",1
"GO:0033612","GO:0033612","receptor serine/threonine kinase binding","1/13","26/20775",0.0161525756714347,0.0435018232480229,0.0134216151581922,"Bmp4",1
"GO:0031435","GO:0031435","mitogen-activated protein kinase kinase kinase binding","1/13","27/20775",0.0167689917163657,0.0435018232480229,0.0134216151581922,"Tcf3",1
"GO:0032452","GO:0032452","histone demethylase activity","1/13","27/20775",0.0167689917163657,0.0435018232480229,0.0134216151581922,"Jarid2",1
"GO:0005126","GO:0005126","cytokine receptor binding","2/13","331/20775",0.0175792153119367,0.0435018232480229,0.0134216151581922,"Bmp4/Lefty1",2
"GO:0035198","GO:0035198","miRNA binding","1/13","29/20775",0.0180007544474577,0.0435018232480229,0.0134216151581922,"Sox2",1
"GO:0043425","GO:0043425","bHLH transcription factor binding","1/13","32/20775",0.0198457279811611,0.044306125224738,0.0136697664032767,"Tcf3",1
"GO:0061980","GO:0061980","regulatory RNA binding","1/13","36/20775",0.0223007155675659,0.044306125224738,0.0136697664032767,"Sox2",1
"GO:0000993","GO:0000993","RNA polymerase II complex binding","1/13","37/20775",0.0229135749483282,0.044306125224738,0.0136697664032767,"Esrrb",1
"GO:0000979","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding","1/13","38/20775",0.0235260796993009,0.044306125224738,0.0136697664032767,"Gbx2",1
"GO:0004879","GO:0004879","nuclear receptor activity","1/13","40/20775",0.0247500260642451,0.044306125224738,0.0136697664032767,"Nr6a1",1
"GO:0031369","GO:0031369","translation initiation factor binding","1/13","40/20775",0.0247500260642451,0.044306125224738,0.0136697664032767,"Myc",1
"GO:0042056","GO:0042056","chemoattractant activity","1/13","40/20775",0.0247500260642451,0.044306125224738,0.0136697664032767,"Bmp4",1
"GO:0098531","GO:0098531","transcription factor activity, direct ligand regulated sequence-specific DNA binding","1/13","40/20775",0.0247500260642451,0.044306125224738,0.0136697664032767,"Nr6a1",1
"GO:0032451","GO:0032451","demethylase activity","1/13","42/20775",0.0259725561662257,0.044306125224738,0.0136697664032767,"Jarid2",1
"GO:0043175","GO:0043175","RNA polymerase core enzyme binding","1/13","42/20775",0.0259725561662257,0.044306125224738,0.0136697664032767,"Esrrb",1
"GO:0001046","GO:0001046","core promoter sequence-specific DNA binding","1/13","49/20775",0.0302402801298072,0.050112464215109,0.0154611958558413,"Gbx2",1
"GO:0001221","GO:0001221","transcription cofactor binding","1/13","51/20775",0.0314564556194508,0.0506798451646707,0.0156362498693176,"Klf4",1
"GO:1990841","GO:1990841","promoter-specific chromatin binding","1/13","53/20775",0.0326712230912872,0.050889982938792,0.015701083665326,"Klf4",1
"GO:0001098","GO:0001098","basal transcription machinery binding","1/13","57/20775",0.0350965399577876,0.050889982938792,0.015701083665326,"Esrrb",1
