"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005667","GO:0005667","transcription factor complex","2/5","423/21319",0.00377485102101098,0.0377485102101098,0.0198676369526894,"Nr6a1/Pitx2",2
"GO:0060076","GO:0060076","excitatory synapse","1/5","76/21319",0.0176994919632611,0.0643900591466617,0.0338895048140325,"Fgfr2",1
"GO:0017053","GO:0017053","transcriptional repressor complex","1/5","83/21319",0.0193170177439985,0.0643900591466617,0.0338895048140325,"Cdx2",1
"GO:0000794","GO:0000794","condensed nuclear chromosome","1/5","143/21319",0.0330943062048474,0.0827357655121186,0.0435451397432203,"Cdx2",1
"GO:0000793","GO:0000793","condensed chromosome","1/5","195/21319",0.0449089720684351,0.0898179441368703,0.0472726021773001,"Cdx2",1
"GO:0005938","GO:0005938","cell cortex","1/5","313/21319",0.0712910691204074,0.106771972599593,0.0561957750524174,"Fgfr2",1
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","1/5","360/21319",0.0816353871352173,0.106771972599593,0.0561957750524174,"Fgfr2",1
"GO:0043235","GO:0043235","receptor complex","1/5","397/21319",0.0897137665652173,0.106771972599593,0.0561957750524174,"Fgfr2",1
"GO:0099568","GO:0099568","cytoplasmic region","1/5","474/21319",0.106343298598989,0.106771972599593,0.0561957750524174,"Fgfr2",1
"GO:0031012","GO:0031012","extracellular matrix","1/5","476/21319",0.106771972599593,0.106771972599593,0.0561957750524174,"Fgfr2",1
