"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051145","GO:0051145","smooth muscle cell differentiation","5/9","73/21077",5.40400605169085e-11,4.66814996226801e-08,1.32936977308948e-08,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0003151","GO:0003151","outflow tract morphogenesis","5/9","84/21077",1.10877510711308e-10,4.66814996226801e-08,1.32936977308948e-08,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0060411","GO:0060411","cardiac septum morphogenesis","5/9","86/21077",1.25039731132179e-10,4.66814996226801e-08,1.32936977308948e-08,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0003148","GO:0003148","outflow tract septum morphogenesis","4/9","29/21077",3.62318290701935e-10,8.69541821773915e-08,2.47623281952534e-08,"Bmp4/Fgfr2/Gata6/Smad6",4
"GO:0003007","GO:0003007","heart morphogenesis","6/9","276/21077",3.88188313291926e-10,8.69541821773915e-08,2.47623281952534e-08,"Bmp4/Fgfr2/Gata6/Smad6/Lefty1/Pitx2",6
"GO:0003279","GO:0003279","cardiac septum development","5/9","129/21077",9.81472449539832e-10,1.83208190580769e-07,5.2173009159749e-08,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0003206","GO:0003206","cardiac chamber morphogenesis","5/9","147/21077",1.89883936817932e-09,3.03814298908691e-07,8.65185456478698e-08,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0003205","GO:0003205","cardiac chamber development","5/9","194/21077",7.67273527619269e-09,1.07418293866698e-06,3.0589984061663e-07,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0060976","GO:0060976","coronary vasculature development","4/9","79/21077",2.27035863433705e-08,2.82533518939722e-06,8.04583235326465e-07,"Bmp4/Fgfr2/Gata6/Smad6",4
"GO:0003281","GO:0003281","ventricular septum development","4/9","87/21077",3.35832851374162e-08,3.76132793539062e-06,1.07113004175128e-06,"Bmp4/Fgfr2/Smad6/Pitx2",4
"GO:0009798","GO:0009798","axis specification","4/9","92/21077",4.21168290921211e-08,4.28825896210688e-06,1.22118652774284e-06,"Bmp4/Smad6/Lefty1/Pitx2",4
"GO:0001657","GO:0001657","ureteric bud development","4/9","104/21077",6.91502540400479e-08,5.53202032320383e-06,1.57537796798004e-06,"Bmp4/Fgfr2/Smad6/Myc",4
"GO:0072163","GO:0072163","mesonephric epithelium development","4/9","104/21077",6.91502540400479e-08,5.53202032320383e-06,1.57537796798004e-06,"Bmp4/Fgfr2/Smad6/Myc",4
"GO:0072164","GO:0072164","mesonephric tubule development","4/9","104/21077",6.91502540400479e-08,5.53202032320383e-06,1.57537796798004e-06,"Bmp4/Fgfr2/Smad6/Myc",4
"GO:0001823","GO:0001823","mesonephros development","4/9","107/21077",7.75650055168911e-08,5.79152041192787e-06,1.64927695941179e-06,"Bmp4/Fgfr2/Smad6/Myc",4
"GO:0048565","GO:0048565","digestive tract development","4/9","122/21077",1.31639426403432e-07,9.21475984824021e-06,2.62412803948946e-06,"Bmp4/Fgfr2/Gata6/Pitx2",4
"GO:0055123","GO:0055123","digestive system development","4/9","135/21077",1.97833905436763e-07,1.28355578148125e-05,3.65523873861673e-06,"Bmp4/Fgfr2/Gata6/Pitx2",4
"GO:0003002","GO:0003002","regionalization","5/9","375/21077",2.06285750595202e-07,1.28355578148125e-05,3.65523873861673e-06,"Bmp4/Fgfr2/Smad6/Lefty1/Pitx2",5
"GO:0072073","GO:0072073","kidney epithelium development","4/9","142/21077",2.42385880180252e-07,1.42880097790464e-05,4.06885992767957e-06,"Bmp4/Fgfr2/Smad6/Myc",4
"GO:0042692","GO:0042692","muscle cell differentiation","5/9","395/21077",2.6699072681153e-07,1.49514807014457e-05,4.25779948546808e-06,"Bmp4/Fgfr2/Gata6/Smad6/Pitx2",5
"GO:0003231","GO:0003231","cardiac ventricle development","4/9","148/21077",2.86193695863107e-07,1.52636637793657e-05,4.34670124543967e-06,"Bmp4/Fgfr2/Smad6/Pitx2",4
"GO:0035886","GO:0035886","vascular smooth muscle cell differentiation","3/9","36/21077",3.81682626951648e-07,1.86911349628369e-05,5.32275741892816e-06,"Gata6/Smad6/Pitx2",3
"GO:0007517","GO:0007517","muscle organ development","5/9","425/21077",3.83835807272542e-07,1.86911349628369e-05,5.32275741892816e-06,"Bmp4/Fgfr2/Gata6/Pitx2/Myc",5
"GO:0014706","GO:0014706","striated muscle tissue development","5/9","450/21077",5.09436666915799e-07,2.37737111227373e-05,6.77014517874944e-06,"Bmp4/Fgfr2/Gata6/Pitx2/Myc",5
"GO:0007389","GO:0007389","pattern specification process","5/9","469/21077",6.25112599269608e-07,2.71814447001393e-05,7.74058058659982e-06,"Bmp4/Fgfr2/Smad6/Lefty1/Pitx2",5
"GO:0060537","GO:0060537","muscle tissue development","5/9","473/21077",6.51927103987565e-07,2.71814447001393e-05,7.74058058659982e-06,"Bmp4/Fgfr2/Gata6/Pitx2/Myc",5
"GO:0035051","GO:0035051","cardiocyte differentiation","4/9","182/21077",6.55266970449787e-07,2.71814447001393e-05,7.74058058659982e-06,"Bmp4/Gata6/Smad6/Pitx2",4
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","4/9","186/21077",7.14767353419035e-07,2.82649287971366e-05,8.04912915933496e-06,"Bmp4/Fgfr2/Pitx2/Myc",4
"GO:0010464","GO:0010464","regulation of mesenchymal cell proliferation","3/9","45/21077",7.57096307066159e-07,2.82649287971366e-05,8.04912915933496e-06,"Bmp4/Fgfr2/Myc",3
"GO:1902893","GO:1902893","regulation of pri-miRNA transcription by RNA polymerase II","3/9","45/21077",7.57096307066159e-07,2.82649287971366e-05,8.04912915933496e-06,"Bmp4/Gata6/Smad6",3
"GO:0060412","GO:0060412","ventricular septum morphogenesis","3/9","51/21077",1.1096772381338e-06,3.99590516378541e-05,1.13793163968701e-05,"Bmp4/Fgfr2/Pitx2",3
"GO:0060428","GO:0060428","lung epithelium development","3/9","52/21077",1.17736491432963e-06,3.99590516378541e-05,1.13793163968701e-05,"Bmp4/Fgfr2/Gata6",3
"GO:0061614","GO:0061614","pri-miRNA transcription by RNA polymerase II","3/9","52/21077",1.17736491432963e-06,3.99590516378541e-05,1.13793163968701e-05,"Bmp4/Gata6/Smad6",3
"GO:0048546","GO:0048546","digestive tract morphogenesis","3/9","54/21077",1.32085403861381e-06,4.22673292356418e-05,1.20366548481198e-05,"Bmp4/Fgfr2/Pitx2",3
"GO:0055025","GO:0055025","positive regulation of cardiac muscle tissue development","3/9","54/21077",1.32085403861381e-06,4.22673292356418e-05,1.20366548481198e-05,"Bmp4/Fgfr2/Gata6",3
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","4/9","223/21077",1.47439587228924e-06,4.5042446292407e-05,1.28269372430445e-05,"Bmp4/Fgfr2/Pitx2/Myc",4
"GO:0030324","GO:0030324","lung development","4/9","224/21077",1.50091613421184e-06,4.5042446292407e-05,1.28269372430445e-05,"Bmp4/Fgfr2/Gata6/Pitx2",4
"GO:0010463","GO:0010463","mesenchymal cell proliferation","3/9","57/21077",1.55714424769207e-06,4.5042446292407e-05,1.28269372430445e-05,"Bmp4/Fgfr2/Myc",3
"GO:0030323","GO:0030323","respiratory tube development","4/9","227/21077",1.58261056382397e-06,4.5042446292407e-05,1.28269372430445e-05,"Bmp4/Fgfr2/Gata6/Pitx2",4
"GO:0003170","GO:0003170","heart valve development","3/9","58/21077",1.6417283009331e-06,4.5042446292407e-05,1.28269372430445e-05,"Bmp4/Smad6/Pitx2",3
"GO:0048863","GO:0048863","stem cell differentiation","4/9","230/21077",1.66757032184939e-06,4.5042446292407e-05,1.28269372430445e-05,"Bmp4/Fgfr2/Gata6/Pitx2",4
"GO:0090092","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","4/9","232/21077",1.72606578116959e-06,4.5042446292407e-05,1.28269372430445e-05,"Bmp4/Gata6/Smad6/Lefty1",4
"GO:0002067","GO:0002067","glandular epithelial cell differentiation","3/9","59/21077",1.7293082058692e-06,4.5042446292407e-05,1.28269372430445e-05,"Bmp4/Fgfr2/Gata6",3
"GO:0033002","GO:0033002","muscle cell proliferation","4/9","237/21077",1.87898319005495e-06,4.78286630195805e-05,1.36203805403505e-05,"Bmp4/Fgfr2/Gata6/Myc",4
"GO:0048286","GO:0048286","lung alveolus development","3/9","62/21077",2.01053529495309e-06,4.97124616450218e-05,1.41568382316181e-05,"Bmp4/Fgfr2/Gata6",3
"GO:0001763","GO:0001763","morphogenesis of a branching structure","4/9","242/21077",2.0417618175634e-06,4.97124616450218e-05,1.41568382316181e-05,"Bmp4/Fgfr2/Pitx2/Myc",4
"GO:0060393","GO:0060393","regulation of pathway-restricted SMAD protein phosphorylation","3/9","63/21077",2.11061064711236e-06,5.02954026545924e-05,1.43228449288924e-05,"Bmp4/Smad6/Lefty1",3
"GO:0060389","GO:0060389","pathway-restricted SMAD protein phosphorylation","3/9","66/21077",2.43055064992088e-06,5.55554434267629e-05,1.58207700735988e-05,"Bmp4/Smad6/Lefty1",3
"GO:0060425","GO:0060425","lung morphogenesis","3/9","66/21077",2.43055064992088e-06,5.55554434267629e-05,1.58207700735988e-05,"Bmp4/Fgfr2/Pitx2",3
"GO:0060541","GO:0060541","respiratory system development","4/9","255/21077",2.51407598231958e-06,5.63153020039586e-05,1.60371583714281e-05,"Bmp4/Fgfr2/Gata6/Pitx2",4
"GO:0048738","GO:0048738","cardiac muscle tissue development","4/9","260/21077",2.71577536817112e-06,5.96405571049344e-05,1.69841060176646e-05,"Bmp4/Fgfr2/Gata6/Pitx2",4
"GO:0048645","GO:0048645","animal organ formation","3/9","73/21077",3.29860927082277e-06,7.06801738141058e-05,2.01279066406711e-05,"Bmp4/Fgfr2/Gata6",3
"GO:0060485","GO:0060485","mesenchyme development","4/9","274/21077",3.34468679656036e-06,7.06801738141058e-05,2.01279066406711e-05,"Bmp4/Fgfr2/Pitx2/Myc",4
"GO:0001822","GO:0001822","kidney development","4/9","280/21077",3.64495271262802e-06,7.55990192248774e-05,2.15286680687386e-05,"Bmp4/Fgfr2/Smad6/Myc",4
"GO:0072001","GO:0072001","renal system development","4/9","301/21077",4.85549175619433e-06,9.57045067256347e-05,2.72541969340858e-05,"Bmp4/Fgfr2/Smad6/Myc",4
"GO:0090596","GO:0090596","sensory organ morphogenesis","4/9","301/21077",4.85549175619433e-06,9.57045067256347e-05,2.72541969340858e-05,"Bmp4/Fgfr2/Pitx2/Myc",4
"GO:0045844","GO:0045844","positive regulation of striated muscle tissue development","3/9","84/21077",5.04157669358254e-06,9.57045067256347e-05,2.72541969340858e-05,"Bmp4/Fgfr2/Gata6",3
"GO:0048636","GO:0048636","positive regulation of muscle organ development","3/9","84/21077",5.04157669358254e-06,9.57045067256347e-05,2.72541969340858e-05,"Bmp4/Fgfr2/Gata6",3
"GO:0060420","GO:0060420","regulation of heart growth","3/9","84/21077",5.04157669358254e-06,9.57045067256347e-05,2.72541969340858e-05,"Fgfr2/Gata6/Dusp6",3
"GO:1901863","GO:1901863","positive regulation of muscle tissue development","3/9","85/21077",5.22490654846348e-06,9.75315889046517e-05,2.77745032313059e-05,"Bmp4/Fgfr2/Gata6",3
"GO:0048562","GO:0048562","embryonic organ morphogenesis","4/9","316/21077",5.88682347708184e-06,0.000108085939251339,3.07801123995824e-05,"Bmp4/Fgfr2/Pitx2/Myc",4
"GO:0030510","GO:0030510","regulation of BMP signaling pathway","3/9","93/21077",6.85284513484306e-06,0.000122755040675748,3.4957497485669e-05,"Bmp4/Gata6/Smad6",3
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","4/9","329/21077",6.90497103801085e-06,0.000122755040675748,3.4957497485669e-05,"Bmp4/Fgfr2/Dusp6/Myc",4
"GO:0003149","GO:0003149","membranous septum morphogenesis","2/9","10/21077",7.28079137466106e-06,0.000127413849056569,3.62842070151694e-05,"Bmp4/Fgfr2",2
"GO:0001655","GO:0001655","urogenital system development","4/9","345/21077",8.33089109092337e-06,0.000143547661874372,4.08787044623446e-05,"Bmp4/Fgfr2/Smad6/Myc",4
"GO:0055024","GO:0055024","regulation of cardiac muscle tissue development","3/9","101/21077",8.78560560075337e-06,0.000144411410998622,4.11246781321264e-05,"Bmp4/Fgfr2/Gata6",3
"GO:0110110","GO:0110110","positive regulation of animal organ morphogenesis","3/9","101/21077",8.78560560075337e-06,0.000144411410998622,4.11246781321264e-05,"Bmp4/Fgfr2/Myc",3
"GO:0061309","GO:0061309","cardiac neural crest cell development involved in outflow tract morphogenesis","2/9","11/21077",8.89677442759367e-06,0.000144411410998622,4.11246781321264e-05,"Bmp4/Pitx2",2
"GO:2000288","GO:2000288","positive regulation of myoblast proliferation","2/9","11/21077",8.89677442759367e-06,0.000144411410998622,4.11246781321264e-05,"Gata6/Pitx2",2
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","4/9","358/21077",9.64139034657447e-06,0.000154262245545192,4.39299439851438e-05,"Bmp4/Gata6/Smad6/Lefty1",4
"GO:0055006","GO:0055006","cardiac cell development","3/9","106/21077",1.01596514347245e-05,0.000160264924040724,4.563935336874e-05,"Bmp4/Smad6/Pitx2",3
"GO:0048661","GO:0048661","positive regulation of smooth muscle cell proliferation","3/9","107/21077",1.04504808509516e-05,0.000162563035459246,4.62937967520222e-05,"Bmp4/Fgfr2/Myc",3
"GO:0060502","GO:0060502","epithelial cell proliferation involved in lung morphogenesis","2/9","12/21077",1.06737651150939e-05,0.000163761875738427,4.66351958164881e-05,"Bmp4/Fgfr2",2
"GO:0090100","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","3/9","111/21077",1.16688372078727e-05,0.000176609428011046,5.02938502700628e-05,"Bmp4/Gata6/Lefty1",3
"GO:0060562","GO:0060562","epithelial tube morphogenesis","4/9","379/21077",1.2073101967797e-05,0.000180291656052435,5.13424546841051e-05,"Bmp4/Fgfr2/Pitx2/Myc",4
"GO:0060601","GO:0060601","lateral sprouting from an epithelium","2/9","13/21077",1.26116562260213e-05,0.000183880246215032,5.23643934240175e-05,"Bmp4/Fgfr2",2
"GO:0060419","GO:0060419","heart growth","3/9","114/21077",1.26417669272834e-05,0.000183880246215032,5.23643934240175e-05,"Fgfr2/Gata6/Dusp6",3
"GO:0042476","GO:0042476","odontogenesis","3/9","116/21077",1.33192926057696e-05,0.000191251381005923,5.44635041774386e-05,"Bmp4/Fgfr2/Pitx2",3
"GO:0061308","GO:0061308","cardiac neural crest cell development involved in heart development","2/9","14/21077",1.47103405950727e-05,0.000206436619015942,5.87878717686376e-05,"Bmp4/Pitx2",2
"GO:0046620","GO:0046620","regulation of organ growth","3/9","120/21077",1.4745472786853e-05,0.000206436619015942,5.87878717686376e-05,"Fgfr2/Gata6/Dusp6",3
"GO:0048638","GO:0048638","regulation of developmental growth","4/9","402/21077",1.522798453292e-05,0.000210559786134203,5.99620443596462e-05,"Bmp4/Fgfr2/Gata6/Dusp6",4
"GO:0060442","GO:0060442","branching involved in prostate gland morphogenesis","2/9","15/21077",1.69697111027674e-05,0.000223600899236465,6.36758199893316e-05,"Bmp4/Fgfr2",2
"GO:0061307","GO:0061307","cardiac neural crest cell differentiation involved in heart development","2/9","15/21077",1.69697111027674e-05,0.000223600899236465,6.36758199893316e-05,"Bmp4/Pitx2",2
"GO:0072074","GO:0072074","kidney mesenchyme development","2/9","15/21077",1.69697111027674e-05,0.000223600899236465,6.36758199893316e-05,"Bmp4/Myc",2
"GO:1902894","GO:1902894","negative regulation of pri-miRNA transcription by RNA polymerase II","2/9","15/21077",1.69697111027674e-05,0.000223600899236465,6.36758199893316e-05,"Bmp4/Gata6",2
"GO:0097094","GO:0097094","craniofacial suture morphogenesis","2/9","16/21077",1.93896606754327e-05,0.000246777499505507,7.02759232614367e-05,"Bmp4/Fgfr2",2
"GO:1901722","GO:1901722","regulation of cell proliferation involved in kidney development","2/9","16/21077",1.93896606754327e-05,0.000246777499505507,7.02759232614367e-05,"Bmp4/Myc",2
"GO:2000291","GO:2000291","regulation of myoblast proliferation","2/9","16/21077",1.93896606754327e-05,0.000246777499505507,7.02759232614367e-05,"Gata6/Pitx2",2
"GO:0009799","GO:0009799","specification of symmetry","3/9","132/21077",1.96209883753205e-05,0.000246915808768078,7.03153102036915e-05,"Bmp4/Lefty1/Pitx2",3
"GO:0035270","GO:0035270","endocrine system development","3/9","137/21077",2.1931097948289e-05,0.000267461871297959,7.61663035745127e-05,"Bmp4/Gata6/Pitx2",3
"GO:0003184","GO:0003184","pulmonary valve morphogenesis","2/9","17/21077",2.19700822851895e-05,0.000267461871297959,7.61663035745127e-05,"Bmp4/Smad6",2
"GO:0060973","GO:0060973","cell migration involved in heart development","2/9","17/21077",2.19700822851895e-05,0.000267461871297959,7.61663035745127e-05,"Bmp4/Pitx2",2
"GO:0060947","GO:0060947","cardiac vascular smooth muscle cell differentiation","2/9","18/21077",2.47108689499378e-05,0.000297058864541829,8.45947706355021e-05,"Gata6/Smad6",2
"GO:0055007","GO:0055007","cardiac muscle cell differentiation","3/9","143/21077",2.49317261311892e-05,0.000297058864541829,8.45947706355021e-05,"Bmp4/Gata6/Pitx2",3
"GO:0045786","GO:0045786","negative regulation of cell cycle","4/9","458/21077",2.54283090929713e-05,0.000299786380885557,8.53714975642141e-05,"Bmp4/Fgfr2/Gata6/Myc",4
"GO:0002065","GO:0002065","columnar/cuboidal epithelial cell differentiation","3/9","146/21077",2.65285208009816e-05,0.000309499409344785,8.81375197664192e-05,"Bmp4/Fgfr2/Gata6",3
"GO:0048732","GO:0048732","gland development","4/9","467/21077",2.74460877977041e-05,0.000312377205872152,8.89570426496824e-05,"Bmp4/Fgfr2/Gata6/Pitx2",4
"GO:0003180","GO:0003180","aortic valve morphogenesis","2/9","19/21077",2.7611913733342e-05,0.000312377205872152,8.89570426496824e-05,"Bmp4/Smad6",2
"GO:0060572","GO:0060572","morphogenesis of an epithelial bud","2/9","19/21077",2.7611913733342e-05,0.000312377205872152,8.89570426496824e-05,"Bmp4/Fgfr2",2
"GO:0048557","GO:0048557","embryonic digestive tract morphogenesis","2/9","20/21077",3.06731097448166e-05,0.000340137454595986,9.68624518257366e-05,"Fgfr2/Pitx2",2
"GO:0061323","GO:0061323","cell proliferation involved in heart morphogenesis","2/9","20/21077",3.06731097448166e-05,0.000340137454595986,9.68624518257366e-05,"Bmp4/Pitx2",2
"GO:0048568","GO:0048568","embryonic organ development","4/9","492/21077",3.36717649382019e-05,0.000365016078425511,0.00010394724789749,"Bmp4/Fgfr2/Pitx2/Myc",4
"GO:0003177","GO:0003177","pulmonary valve development","2/9","21/21077",3.38943501395117e-05,0.000365016078425511,0.00010394724789749,"Bmp4/Smad6",2
"GO:0051450","GO:0051450","myoblast proliferation","2/9","21/21077",3.38943501395117e-05,0.000365016078425511,0.00010394724789749,"Gata6/Pitx2",2
"GO:0060602","GO:0060602","branch elongation of an epithelium","2/9","22/21077",3.72755281182984e-05,0.000390173752266301,0.000111111510278843,"Bmp4/Fgfr2",2
"GO:0072111","GO:0072111","cell proliferation involved in kidney development","2/9","22/21077",3.72755281182984e-05,0.000390173752266301,0.000111111510278843,"Bmp4/Myc",2
"GO:0072215","GO:0072215","regulation of metanephros development","2/9","22/21077",3.72755281182984e-05,0.000390173752266301,0.000111111510278843,"Bmp4/Myc",2
"GO:0030509","GO:0030509","BMP signaling pathway","3/9","166/21077",3.89227877577736e-05,0.000399940571456023,0.000113892850705991,"Bmp4/Gata6/Smad6",3
"GO:0048660","GO:0048660","regulation of smooth muscle cell proliferation","3/9","166/21077",3.89227877577736e-05,0.000399940571456023,0.000113892850705991,"Bmp4/Fgfr2/Myc",3
"GO:0003176","GO:0003176","aortic valve development","2/9","23/21077",4.08165369277548e-05,0.000415586557809867,0.000118348427646983,"Bmp4/Smad6",2
"GO:0007369","GO:0007369","gastrulation","3/9","171/21077",4.25240137846197e-05,0.000425240137846197,0.000121097520458081,"Bmp4/Gata6/Lefty1",3
"GO:0048659","GO:0048659","smooth muscle cell proliferation","3/9","171/21077",4.25240137846197e-05,0.000425240137846197,0.000121097520458081,"Bmp4/Fgfr2/Myc",3
"GO:0035107","GO:0035107","appendage morphogenesis","3/9","174/21077",4.47864830086726e-05,0.000440007552365907,0.000125302902600441,"Bmp4/Fgfr2/Pitx2",3
"GO:0035108","GO:0035108","limb morphogenesis","3/9","174/21077",4.47864830086726e-05,0.000440007552365907,0.000125302902600441,"Bmp4/Fgfr2/Pitx2",3
"GO:0016202","GO:0016202","regulation of striated muscle tissue development","3/9","176/21077",4.63379567535054e-05,0.00045112815523019,0.000128469766010101,"Bmp4/Fgfr2/Gata6",3
"GO:0071772","GO:0071772","response to BMP","3/9","177/21077",4.71267805017253e-05,0.00045112815523019,0.000128469766010101,"Bmp4/Gata6/Smad6",3
"GO:0071773","GO:0071773","cellular response to BMP stimulus","3/9","177/21077",4.71267805017253e-05,0.00045112815523019,0.000128469766010101,"Bmp4/Gata6/Smad6",3
