"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005160","GO:0005160","transforming growth factor beta receptor binding","3/9","54/20775",1.37908221375436e-06,7.44704395427356e-05,2.17749823224373e-05,"Bmp4/Smad6/Lefty1",3
"GO:0070696","GO:0070696","transmembrane receptor protein serine/threonine kinase binding","2/9","18/20775",2.54332269291562e-05,0.000686697127087217,0.000200788633651233,"Bmp4/Smad6",2
"GO:0033612","GO:0033612","receptor serine/threonine kinase binding","2/9","26/20775",5.39277959857532e-05,0.000970700327743557,0.000283830505188175,"Bmp4/Smad6",2
"GO:0005126","GO:0005126","cytokine receptor binding","3/9","331/20775",0.000313525176160981,0.00423258987817325,0.00123759937958282,"Bmp4/Smad6/Lefty1",3
"GO:0070491","GO:0070491","repressing transcription factor binding","2/9","71/20775",0.000408190792881624,0.00440846056312154,0.00128902355646829,"Gata6/Myc",2
"GO:0033613","GO:0033613","activating transcription factor binding","2/9","80/20775",0.000518018427040727,0.00466216584336654,0.00136320638694928,"Pitx2/Myc",2
"GO:0008083","GO:0008083","growth factor activity","2/9","146/20775",0.00170963515294296,0.0116899659993728,0.00341811871326691,"Bmp4/Lefty1",2
"GO:0001085","GO:0001085","RNA polymerase II transcription factor binding","2/9","153/20775",0.00187514040310818,0.0116899659993728,0.00341811871326691,"Gata6/Pitx2",2
"GO:0008201","GO:0008201","heparin binding","2/9","156/20775",0.00194832766656214,0.0116899659993728,0.00341811871326691,"Bmp4/Fgfr2",2
"GO:0005539","GO:0005539","glycosaminoglycan binding","2/9","210/20775",0.00349377453619688,0.0155626728233277,0.00455048912962798,"Bmp4/Fgfr2",2
"GO:0005125","GO:0005125","cytokine activity","2/9","218/20775",0.00375892494216118,0.0155626728233277,0.00455048912962798,"Bmp4/Lefty1",2
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","2/9","237/20775",0.00442538090007069,0.0155626728233277,0.00455048912962798,"Pitx2/Myc",2
"GO:0070410","GO:0070410","co-SMAD binding","1/9","11/20775",0.00475617664022465,0.0155626728233277,0.00455048912962798,"Smad6",1
"GO:0070411","GO:0070411","I-SMAD binding","1/9","11/20775",0.00475617664022465,0.0155626728233277,0.00455048912962798,"Smad6",1
"GO:0070700","GO:0070700","BMP receptor binding","1/9","11/20775",0.00475617664022465,0.0155626728233277,0.00455048912962798,"Bmp4",1
"GO:1901681","GO:1901681","sulfur compound binding","2/9","253/20775",0.00502628700942439,0.0155626728233277,0.00455048912962798,"Bmp4/Fgfr2",2
"GO:0034713","GO:0034713","type I transforming growth factor beta receptor binding","1/9","12/20775",0.00518755760777589,0.0155626728233277,0.00455048912962798,"Smad6",1
"GO:0039706","GO:0039706","co-receptor binding","1/9","12/20775",0.00518755760777589,0.0155626728233277,0.00455048912962798,"Bmp4",1
"GO:0017017","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity","1/9","13/20775",0.00561877236390607,0.0159691425079436,0.00466933991460338,"Dusp6",1
"GO:0033549","GO:0033549","MAP kinase phosphatase activity","1/9","15/20775",0.00648070346604201,0.0174978993583134,0.00511634484161212,"Dusp6",1
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","2/9","307/20775",0.007316542875779,0.0188139673948603,0.00550116005697669,"Smad6/Myc",2
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","2/9","327/20775",0.00826523819131415,0.0202874028332256,0.00593198913252212,"Smad6/Myc",2
"GO:0070412","GO:0070412","R-SMAD binding","1/9","25/20775",0.0107804053285679,0.0252212949672096,0.00737464765123087,"Smad6",1
"GO:0017134","GO:0017134","fibroblast growth factor binding","1/9","26/20775",0.0112094644298709,0.0252212949672096,0.00737464765123087,"Fgfr2",1
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","2/9","436/20775",0.0143482975656889,0.0309923227418879,0.00906208267306665,"Pitx2/Myc",2
"GO:0001103","GO:0001103","RNA polymerase II repressing transcription factor binding","1/9","35/20775",0.0150635587600173,0.0312858528092667,0.00914791017814816,"Gata6",1
"GO:0008138","GO:0008138","protein tyrosine/serine/threonine phosphatase activity","1/9","40/20775",0.0171989472441685,0.0320256259029344,0.00936421810027322,"Dusp6",1
"GO:0031369","GO:0031369","translation initiation factor binding","1/9","40/20775",0.0171989472441685,0.0320256259029344,0.00936421810027322,"Myc",1
"GO:0042056","GO:0042056","chemoattractant activity","1/9","40/20775",0.0171989472441685,0.0320256259029344,0.00936421810027322,"Bmp4",1
"GO:0048018","GO:0048018","receptor ligand activity","2/9","491/20775",0.0179770196904162,0.0321878394144939,0.0094116489516064,"Bmp4/Lefty1",2
"GO:0001102","GO:0001102","RNA polymerase II activating transcription factor binding","1/9","43/20775",0.0184782041083206,0.0321878394144939,0.0094116489516064,"Pitx2",1
"GO:0070888","GO:0070888","E-box binding","1/9","47/20775",0.0201815774419869,0.0340564119333529,0.0099580151851909,"Myc",1
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","1/9","59/20775",0.025275942703901,0.0413606335154743,0.0120937524899048,"Fgfr2",1
"GO:0001047","GO:0001047","core promoter binding","1/9","62/20775",0.0265458493955028,0.0421610549222691,0.0123277938369208,"Myc",1
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","1/9","76/20775",0.0324526566217641,0.0500698130735789,0.0146402962203447,"Fgfr2",1
"GO:0046332","GO:0046332","SMAD binding","1/9","86/20775",0.036652276922628,0.0549784153839419,0.0160755600537842,"Smad6",1
"GO:0031490","GO:0031490","chromatin DNA binding","1/9","96/20775",0.0408356864070157,0.0592158711258506,0.0173145822005411,"Pitx2",1
"GO:0004725","GO:0004725","protein tyrosine phosphatase activity","1/9","98/20775",0.0416704278293023,0.0592158711258506,0.0173145822005411,"Dusp6",1
"GO:0051219","GO:0051219","phosphoprotein binding","1/9","104/20775",0.0441707790237748,0.061159540186765,0.0178829064873582,"Pitx2",1
"GO:0001158","GO:0001158","enhancer sequence-specific DNA binding","1/9","121/20775",0.0512236468953311,0.067983951881047,0.0198783485032301,"Gata6",1
"GO:0042826","GO:0042826","histone deacetylase binding","1/9","122/20775",0.0516370770869621,0.067983951881047,0.0198783485032301,"Dnmt3b",1
"GO:0004713","GO:0004713","protein tyrosine kinase activity","1/9","125/20775",0.0528764070185921,0.067983951881047,0.0198783485032301,"Fgfr2",1
"GO:0035326","GO:0035326","enhancer binding","1/9","132/20775",0.0557625800676578,0.0700274261314772,0.0204758555939992,"Gata6",1
"GO:0019838","GO:0019838","growth factor binding","1/9","146/20775",0.0615114833138289,0.0752872026703148,0.0220138019503845,"Fgfr2",1
"GO:0008757","GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","1/9","149/20775",0.0627393355585957,0.0752872026703148,0.0220138019503845,"Dnmt3b",1
