"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","url"
"mmu04350","mmu04350","TGF-beta signaling pathway","5/8","95/8657",7.8104263517212e-09,3.20227480420569e-07,2.21980538417339e-07,"12159/17130/13590/18741/17869",5,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04350/12159/17130/13590/18741/17869"")"
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","4/8","138/8657",4.11869666292469e-06,8.44332815899562e-05,5.85288473152457e-05,"12159/14183/13590/17869",4,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04550/12159/14183/13590/17869"")"
"mmu05230","mmu05230","Central carbon metabolism in cancer","2/8","67/8657",0.00160335895163132,0.0156807441481289,0.010869835481373,"14183/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05230/14183/17869"")"
"mmu05221","mmu05221","Acute myeloid leukemia","2/8","70/8657",0.0017488628131667,0.0156807441481289,0.010869835481373,"67603/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05221/67603/17869"")"
"mmu04010","mmu04010","MAPK signaling pathway","3/8","294/8657",0.00191228587172303,0.0156807441481289,0.010869835481373,"14183/67603/17869",3,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04010/14183/67603/17869"")"
"mmu04919","mmu04919","Thyroid hormone signaling pathway","2/8","118/8657",0.0048889444900205,0.0334077873484734,0.0231581581106234,"12159/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04919/12159/17869"")"
"mmu05226","mmu05226","Gastric cancer","2/8","150/8657",0.00779788493830619,0.0420531889468055,0.029151119423973,"14183/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05226/14183/17869"")"
"mmu04390","mmu04390","Hippo signaling pathway","2/8","154/8657",0.00820550028230351,0.0420531889468055,0.029151119423973,"12159/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04390/12159/17869"")"
"mmu05202","mmu05202","Transcriptional misregulation in cancer","2/8","183/8657",0.0114437026182368,0.0521324230386341,0.0361380082681161,"67603/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05202/67603/17869"")"
"mmu05206","mmu05206","MicroRNAs in cancer","2/8","303/8657",0.0297334435851251,0.121907118699013,0.0845055765050925,"13436/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05206/13436/17869"")"
"mmu05216","mmu05216","Thyroid cancer","1/8","37/8657",0.0336982776499974,0.1256026712409,0.0870673202440125,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05216/17869"")"
"mmu05219","mmu05219","Bladder cancer","1/8","41/8657",0.0372811085824496,0.12570073430769,0.0871352972094387,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05219/17869"")"
"mmu04151","mmu04151","PI3K-Akt signaling pathway","2/8","355/8657",0.0398563303902432,0.12570073430769,0.0871352972094387,"14183/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04151/14183/17869"")"
"mmu00270","mmu00270","Cysteine and methionine metabolism","1/8","52/8657",0.0470740279722359,0.137859653347262,0.0955638161842383,"13436",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu00270/13436"")"
