"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032908","GO:0032908","regulation of transforming growth factor beta1 production","1/2","10/21077",0.000948699043506696,0.014110422835754,NA,"Gata6",1
"GO:0071635","GO:0071635","negative regulation of transforming growth factor beta production","1/2","10/21077",0.000948699043506696,0.014110422835754,NA,"Gata6",1
"GO:0032905","GO:0032905","transforming growth factor beta1 production","1/2","11/21077",0.00104354418528818,0.014110422835754,NA,"Gata6",1
"GO:2000288","GO:2000288","positive regulation of myoblast proliferation","1/2","11/21077",0.00104354418528818,0.014110422835754,NA,"Gata6",1
"GO:0060430","GO:0060430","lung saccule development","1/2","12/21077",0.00113838482478457,0.014110422835754,NA,"Gata6",1
"GO:0061140","GO:0061140","lung secretory cell differentiation","1/2","14/21077",0.00132805259692126,0.014110422835754,NA,"Gata6",1
"GO:0071371","GO:0071371","cellular response to gonadotropin stimulus","1/2","14/21077",0.00132805259692126,0.014110422835754,NA,"Gata6",1
"GO:0001711","GO:0001711","endodermal cell fate commitment","1/2","15/21077",0.00142287972956168,0.014110422835754,NA,"Gata6",1
"GO:0034698","GO:0034698","response to gonadotropin","1/2","15/21077",0.00142287972956168,0.014110422835754,NA,"Gata6",1
"GO:1902894","GO:1902894","negative regulation of pri-miRNA transcription by RNA polymerase II","1/2","15/21077",0.00142287972956168,0.014110422835754,NA,"Gata6",1
"GO:2000291","GO:2000291","regulation of myoblast proliferation","1/2","16/21077",0.00151770235991677,0.014110422835754,NA,"Gata6",1
"GO:0010002","GO:0010002","cardioblast differentiation","1/2","18/21077",0.00170733411377133,0.014110422835754,NA,"Gata6",1
"GO:0060947","GO:0060947","cardiac vascular smooth muscle cell differentiation","1/2","18/21077",0.00170733411377133,0.014110422835754,NA,"Gata6",1
"GO:0051450","GO:0051450","myoblast proliferation","1/2","21/21077",0.00199174797741353,0.014110422835754,NA,"Gata6",1
"GO:0060575","GO:0060575","intestinal epithelial cell differentiation","1/2","22/21077",0.00208654359405691,0.014110422835754,NA,"Gata6",1
"GO:0010666","GO:0010666","positive regulation of cardiac muscle cell apoptotic process","1/2","23/21077",0.00218133470841553,0.014110422835754,NA,"Gata6",1
"GO:0010663","GO:0010663","positive regulation of striated muscle cell apoptotic process","1/2","24/21077",0.00227612132048816,0.014110422835754,NA,"Gata6",1
"GO:0003299","GO:0003299","muscle hypertrophy in response to stress","1/2","26/21077",0.00246568103777811,0.014110422835754,NA,"Gata6",1
"GO:0014898","GO:0014898","cardiac muscle hypertrophy in response to stress","1/2","26/21077",0.00246568103777811,0.014110422835754,NA,"Gata6",1
"GO:2000738","GO:2000738","positive regulation of stem cell differentiation","1/2","26/21077",0.00246568103777811,0.014110422835754,NA,"Gata6",1
"GO:0014887","GO:0014887","cardiac muscle adaptation","1/2","27/21077",0.00256045414299522,0.014110422835754,NA,"Gata6",1
"GO:0035987","GO:0035987","endodermal cell differentiation","1/2","27/21077",0.00256045414299522,0.014110422835754,NA,"Gata6",1
"GO:0060045","GO:0060045","positive regulation of cardiac muscle cell proliferation","1/2","27/21077",0.00256045414299522,0.014110422835754,NA,"Gata6",1
"GO:0003148","GO:0003148","outflow tract septum morphogenesis","1/2","29/21077",0.00274998684657346,0.014110422835754,NA,"Gata6",1
"GO:0003309","GO:0003309","type B pancreatic cell differentiation","1/2","31/21077",0.00293950154101064,0.014110422835754,NA,"Gata6",1
"GO:0060795","GO:0060795","cell fate commitment involved in formation of primary germ layer","1/2","31/21077",0.00293950154101064,0.014110422835754,NA,"Gata6",1
"GO:0001706","GO:0001706","endoderm formation","1/2","33/21077",0.00312899822630686,0.014110422835754,NA,"Gata6",1
"GO:0035883","GO:0035883","enteroendocrine cell differentiation","1/2","34/21077",0.0032237398155267,0.014110422835754,NA,"Gata6",1
"GO:0060487","GO:0060487","lung epithelial cell differentiation","1/2","34/21077",0.0032237398155267,0.014110422835754,NA,"Gata6",1
"GO:0071634","GO:0071634","regulation of transforming growth factor beta production","1/2","34/21077",0.0032237398155267,0.014110422835754,NA,"Gata6",1
"GO:0060479","GO:0060479","lung cell differentiation","1/2","35/21077",0.00331847690246134,0.014110422835754,NA,"Gata6",1
"GO:0035886","GO:0035886","vascular smooth muscle cell differentiation","1/2","36/21077",0.00341320948711132,0.014110422835754,NA,"Gata6",1
